HS - Combined  Product Code,HS - Combined  Product Description,CPC Product Code,CPC Product Description
020742,(-1995) Frozen cuts and offal of turkey (excl. liv,21122,"Meat and edible offal of poultry, frozen"
020743,"(-1995) Frozen cuts and offal of geese, ducks and ",21122,"Meat and edible offal of poultry, frozen"
020750,(-1995) Frozen poultry livers,21122,"Meat and edible offal of poultry, frozen"
020810,Of rabbits or hares,21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020820,(-2006) Frogs' legs,0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
020830,(2002-) Of primates,21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020840,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020850,(2002-) Of reptiles (including snakes and turtles),21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020890,Other,21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",21611,"Fats of bovine animals, sheep, goats, pigs and poultry, raw or rendered"
021011,"Hams, shoulders and cuts thereof, with bone in",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021012,Bellies (streaky) and cuts thereof,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021019,Other,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021020,Meat of bovine animals,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021090,"(-2001) Other, including edible flours and meals of meat o",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021091,(2002-) Of primates,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021092,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of  manatees and dugongs (mammals of the order Sirenia)",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021093,(2002-) Of reptiles (including snakes and turtles),21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021099,(2002-) Other,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
030110,Ornamental fish,0411,"Fish, live"
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0411,"Fish, live"
030192,Eels (Anguilla spp.),0411,"Fish, live"
030193,Carp,0411,"Fish, live"
030199,Other,0411,"Fish, live"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0412,"Fish, fresh or chilled"
030212,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",0412,"Fish, fresh or chilled"
030219,Other,0412,"Fish, fresh or chilled"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0412,"Fish, fresh or chilled"
030222,Plaice (Pleuronectes platessa),0412,"Fish, fresh or chilled"
030223,Sole (Solea spp.),0412,"Fish, fresh or chilled"
030229,Other,0412,"Fish, fresh or chilled"
030231,Albacore or longfinned tunas (Thunnus alalunga),0412,"Fish, fresh or chilled"
030232,Yellowfin tunas (Thunnus albacares),0412,"Fish, fresh or chilled"
030233,Skipjack or stripebellied bonito,0412,"Fish, fresh or chilled"
030234,(2002-) Bigeye tunas (Thunnus obesus),0412,"Fish, fresh or chilled"
030235,(2002-) Bluefin tunas (Thunnus thynnus),0412,"Fish, fresh or chilled"
030236,(2002-) Southern bluefin tunas (Thunnus maccoyii),0412,"Fish, fresh or chilled"
030239,Other,0412,"Fish, fresh or chilled"
030240,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0412,"Fish, fresh or chilled"
030250,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0412,"Fish, fresh or chilled"
030261,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0412,"Fish, fresh or chilled"
030262,Haddock (Melanogrammus aeglefinus),0412,"Fish, fresh or chilled"
030263,Coalfish (Pollachius virens),0412,"Fish, fresh or chilled"
030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0412,"Fish, fresh or chilled"
030265,Dogfish and other sharks,0412,"Fish, fresh or chilled"
030266,Eels (Anguilla spp.),0412,"Fish, fresh or chilled"
030269,Other,0412,"Fish, fresh or chilled"
030270,Livers and roes,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
030310,"(-2001) Pacific salmon (Oncorhynchus nerka, Oncorhynchus g",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030311,(2002-) Sockeye salmon (red salmon) (Oncorhynchus nerka),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030319,(2002-) Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030321,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030322,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030329,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030332,Plaice (Pleuronectes platessa),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030333,Sole (Solea spp.),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030339,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030341,Albacore or longfinned tunas (Thunnus alalunga),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030342,Yellowfin tunas (Thunnus albacares),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030343,Skipjack or stripbellied bonito,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030344,(2002-) Bigeye tunas (Thunnus obesus),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030345,(2002-) Bluefin tunas (Thunnus thynnus),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030346,(2002-) Southern bluefin tunas (Thunnus maccoyii),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030349,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030350,"(-2006) Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030360,"(-2006) Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030371,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030372,Haddock (Melanogrammus aeglefinus),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030373,Coalfish (Pollachius virens),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030374,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030375,Dogfish and other sharks,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030376,Eels (Anguilla spp.),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030377,"Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030378,"Hake (Merluccius spp., Urophycis spp.)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030379,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030380,Livers and roes,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030410,(-2006) Fresh or chilled,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
030420,(-2006) Frozen fillets,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030490,(-2006) Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030510,"Flours, meals and pellets of fish, fit for human consumption",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030520,"Livers and roes of fish, dried, smoked, salted or in brine",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030530,"Fish fillets, dried, salted or in brine, but not smoked",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030542,"Herrings (Clupea harengus, Clupea pallasii)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030549,Other,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030559,Other,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030561,"Herrings (Clupea harengus, Clupea pallasii)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030563,Anchovies (Engraulis spp.),2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030569,Other,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030611,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030612,Lobsters (Homarus spp.),2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030613,Shrimps and prawns,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030614,Crabs,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030621,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",0421,"Crustaceans, not frozen"
030622,Lobsters (Homarus spp.),0421,"Crustaceans, not frozen"
030623,Shrimps and prawns,0421,"Crustaceans, not frozen"
030624,Crabs,0421,"Crustaceans, not frozen"
030629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",0421,"Crustaceans, not frozen"
030710,Oysters,0422,Oysters
030721,"Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030729,Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030731,"Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030739,Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030741,"Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030749,Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030751,"Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030759,Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030760,"Snails, other than sea snails",0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
030791,"Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030799,Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
040110,"Of a fat content, by weight, not exceeding 1 %",2211,Processed liquid milk
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding     6 %",2211,Processed liquid milk
040130,"Of a fat content, by weight, exceeding 6 %",2212,Cream
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",2291,Milk and cream in solid forms
040221,Not containing added sugar or other sweetening matter,2291,Milk and cream in solid forms
040229,Other,2291,Milk and cream in solid forms
040291,Not containing added sugar or other sweetening matter,2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040299,Other,2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040310,Yogurt,2293,Yoghurt and other fermented or acidified milk and cream
040390,Other,2293,Yoghurt and other fermented or acidified milk and cream
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",2299,Dairy products n.e.c.
040490,Other,2299,Dairy products n.e.c.
040500,(-1995) Butter and other fats and oils derived fro,2294,Butter and other fats and oils derived from milk
040510,(1996-) Butter,2294,Butter and other fats and oils derived from milk
040520,(1996-) Dairy spreads,2294,Butter and other fats and oils derived from milk
040590,(1996-) Other,2294,Butter and other fats and oils derived from milk
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",2295,Cheese and curd
040620,"Grated or powdered cheese, of all kinds",2295,Cheese and curd
040630,"Processed cheese, not grated or powdered",2295,Cheese and curd
040640,Blueveined cheese,2295,Cheese and curd
040690,Other cheese,2295,Cheese and curd
040700,"Birds' eggs, in shell, fresh, preserved or cooked.",0292,"Eggs, in shell, fresh, preserved or cooked"
040811,Dried,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040819,Other,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040891,Dried,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040899,Other,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040900,Natural honey.,0293,Natural honey
041000,"Edible products of animal origin, not elsewhere specified or included.",0295,Edible products of animal origin n.e.c.
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",38971,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050290,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050300,"(-2006) Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",02963,"Fine or coarse animal hair (including horsehair), not carded or combed"
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050510,Feathers of a kind used for stuffing; down,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050590,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050610,Ossein and bones treated with acid,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050690,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050710,Ivory; ivory powder and waste,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050790,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof.",0491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
050900,(-2006) Natural sponges of animal origin.,0492,Natural sponges of animal origin
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
051110,Bovine semen,0299,Bovine semen
051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",21299,"Products n.e.c. of fish, crustaceans, molluscs or other aquatic invertebrates; dead fish,"
051199,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060210,Unrooted cuttings and slips,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060230,"Rhododendrons and azaleas, grafted or not",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060240,"Roses, grafted or not",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060290,(1996-) Other,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060291,(-1995) Mushroom spawn,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060299,"(-1995) Other live plants, nes",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060310,(-2006) Fresh,0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060390,Other,0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060410,Mosses and lichens,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060491,Fresh,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060499,Other,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
070110,Seed,0121,Potatoes
070190,Other,0121,Potatoes
070200,"Tomatoes, fresh or chilled.",0123,"Other vegetables, fresh or chilled"
070310,Onions and shallots,0123,"Other vegetables, fresh or chilled"
070320,Garlic,0123,"Other vegetables, fresh or chilled"
070390,Leeks and other alliaceous vegetables,0123,"Other vegetables, fresh or chilled"
070410,Cauliflowers and headed broccoli,0123,"Other vegetables, fresh or chilled"
070420,Brussels sprouts,0123,"Other vegetables, fresh or chilled"
070490,Other,0123,"Other vegetables, fresh or chilled"
070511,Cabbage lettuce (head lettuce),0123,"Other vegetables, fresh or chilled"
070519,Other,0123,"Other vegetables, fresh or chilled"
070521,Witloof chicory (Cichorium intybus var. foliosum),0123,"Other vegetables, fresh or chilled"
070529,Other,0123,"Other vegetables, fresh or chilled"
070610,Carrots and turnips,0123,"Other vegetables, fresh or chilled"
070690,Other,0123,"Other vegetables, fresh or chilled"
070700,"Cucumbers and gherkins, fresh or chilled.",0123,"Other vegetables, fresh or chilled"
070810,Peas (Pisum sativum),0123,"Other vegetables, fresh or chilled"
070820,"Beans (Vigna spp., Phaseolus spp.)",0123,"Other vegetables, fresh or chilled"
070890,Other leguminous vegetables,0123,"Other vegetables, fresh or chilled"
070910,(-2006) Globe artichokes,0123,"Other vegetables, fresh or chilled"
070920,Asparagus,0123,"Other vegetables, fresh or chilled"
070930,Aubergines (eggplants),0123,"Other vegetables, fresh or chilled"
070940,Celery other than celeriac,0123,"Other vegetables, fresh or chilled"
070951,Mushrooms of the genus Agaricus,0123,"Other vegetables, fresh or chilled"
070952,(-2006) Truffles,0123,"Other vegetables, fresh or chilled"
070959,(2002-) Other,0123,"Other vegetables, fresh or chilled"
070960,Fruits of the genus Capsicum or of the genus Pimenta,0123,"Other vegetables, fresh or chilled"
070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0123,"Other vegetables, fresh or chilled"
070990,Other,0123,"Other vegetables, fresh or chilled"
071010,Potatoes,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071021,Peas (Pisum sativum),2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071022,"Beans (Vigna spp., Phaseolus spp.)",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071029,Other,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071040,Sweet corn,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071080,Other vegetables,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071090,Mixtures of vegetables,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071110,(-2001) Onions,2132,Vegetables provisionally preserved
071120,Olives,2132,Vegetables provisionally preserved
071130,(-2006) Capers,2132,Vegetables provisionally preserved
071140,Cucumbers and gherkins,2132,Vegetables provisionally preserved
071151,(2002-) Mushrooms of the genus Agaricus,2132,Vegetables provisionally preserved
071159,(2002-) Other,2132,Vegetables provisionally preserved
071190,Other vegetables; mixtures of vegetables,2132,Vegetables provisionally preserved
071210,(-1995) Dried potatoes,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071220,Onions,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071230,(-2001) Mushrooms and truffles,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071231,(2002-) Mushrooms of the genus Agaricus,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071232,(2002-) Wood ears (Auricularia spp.),2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071233,(2002-) Jelly fungi (Tremella spp.),2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
